documento,país,ano,G2,G3,G4,G5,massa,X,Y,arquivo,rotulo
AI Continent Action Plan,União Europeia,2025,31.5032,31.1656,10.351,15.189,88.2088,0.5014,0.3494,ai_continent_action_plan.json,UE 2025 — AI Continent
Apply AI Strategy,União Europeia,2025,14.5995,40.1822,8.7061,10.4474,73.9352,0.6438,0.1658,apply_ai_strategy.json,UE 2025 — Apply AI
America's AI Action Plan,Estados Unidos,2025,26.7604,30.09,25.8972,12.7019,95.4495,0.0749,0.3562,americas_ai_action_plan.json,EUA 2025
New Generation AI Development Plan,China,2017,55.4475,25.8224,3.9795,42.4478,127.6972,0.7329,0.1328,new_generation_ai_development_plan.json,China 2017
"Opinions on Deepening the ""Artificial Intelligence+"" Initiative",China,2025,39.8184,37.3734,13.2728,21.3063,111.7709,0.4759,0.3029,ai_plus.json,China 2025 — AI+
Plano Brasileiro de IA (PBIA) — AI for the Good of All,Brasil,2024,15.9627,16.1375,20.3903,25.4005,77.8911,-0.1164,-0.2282,pbia.json,Brasil 2024 — PBIA
