documento,arquivo,soma_uni_G2,soma_uni_G3,soma_uni_G4,soma_uni_G5,soma_uni_massa,soma_uni_X,soma_uni_Y,soma_uni_quadrante,media_uni_G2,media_uni_G3,media_uni_G4,media_uni_G5,media_uni_massa,media_uni_X,media_uni_Y,media_uni_quadrante,soma_uni_bi_G2,soma_uni_bi_G3,soma_uni_bi_G4,soma_uni_bi_G5,soma_uni_bi_massa,soma_uni_bi_X,soma_uni_bi_Y,soma_uni_bi_quadrante,muda_quadrante
AI Continent Action Plan,ai_continent_action_plan.json,31.5032,31.1656,10.351,15.189,88.2088,0.5014,0.3494,superior-direito,1.1251,0.9444,0.941,0.6604,3.6709,0.0018,0.2603,superior-direito,37.8038,34.8785,13.3888,15.189,101.2601,0.4452,0.4268,superior-direito,não
Apply AI Strategy,apply_ai_strategy.json,14.5995,40.1822,8.7061,10.4474,73.9352,0.6438,0.1658,superior-direito,0.5214,1.2176,0.7915,0.4542,2.9848,0.2121,0.0689,superior-direito,14.5995,40.1822,8.7061,10.4474,73.9352,0.6438,0.1658,superior-direito,não
America's AI Action Plan,americas_ai_action_plan.json,26.7604,30.09,25.8972,12.7019,95.4495,0.0749,0.3562,superior-direito,0.9557,0.9118,2.3543,0.5523,4.7741,-0.4416,0.2676,superior-esquerdo,30.7066,32.5564,27.6236,12.7019,103.5886,0.082,0.4148,superior-direito,sim
New Generation AI Development Plan,new_generation_ai_development_plan.json,55.4475,25.8224,3.9795,42.4478,127.6972,0.7329,0.1328,superior-direito,1.9803,0.7825,0.3618,1.8456,4.9701,0.3677,0.0352,superior-direito,55.4475,25.8224,3.9795,42.4478,127.6972,0.7329,0.1328,superior-direito,não
"Opinions on Deepening the ""Artificial Intelligence+"" Initiative",ai_plus.json,39.8184,37.3734,13.2728,21.3063,111.7709,0.4759,0.3029,superior-direito,1.4221,1.1325,1.2066,0.9264,4.6876,-0.0317,0.2111,superior-esquerdo,41.9141,37.3734,13.2728,21.3063,113.8666,0.4759,0.326,superior-direito,sim
Plano Brasileiro de IA (PBIA) — AI for the Good of All,pbia.json,15.9627,16.1375,20.3903,25.4005,77.8911,-0.1164,-0.2282,inferior-esquerdo,0.5701,0.489,1.8537,1.1044,4.0171,-0.5825,-0.3191,inferior-esquerdo,15.9627,16.1375,20.3903,25.4005,77.8911,-0.1164,-0.2282,inferior-esquerdo,não
